ID_TERRITORIO,CODIGO,ID_NIVEL_TERRITORIAL,DESCRIPCION,ID_TERRITORIO_PADRE,PATH_DESCRIPCION,PATH_ID,PATH_CODIGO,NOMECLATURA,PATH_NOMECLATURA
1036,71,5,"VICTORIA DEL PORTETE (IRQUIS)",200,"ECUADOR AZUAY CUENCA VICTORIA DEL PORTETE (IRQUIS)","1,2,200,1036","593 01 01 71",VIC,"EC AZU CUE VIC"
1037,50,8,"GIRÓN, CABECERA CANTONAL",201,"ECUADOR AZUAY GIRÓN GIRÓN, CABECERA CANTONAL","1,2,201,1037","593 01 02 50",GIR,"EC AZU GIR GIR"
1038,51,5,ASUNCIÓN,201,"ECUADOR AZUAY GIRÓN ASUNCIÓN","1,2,201,1038","593 01 02 51",ASU,"EC AZU GIR ASU"
1039,52,5,"SAN GERARDO",201,"ECUADOR AZUAY GIRÓN SAN GERARDO","1,2,201,1039","593 01 02 52",SAN,"EC AZU GIR SAN"
1040,50,8,"GUALACEO, CABECERA CANTONAL",202,"ECUADOR AZUAY GUALACEO GUALACEO, CABECERA CANTONAL","1,2,202,1040","593 01 03 50",GUA,"EC AZU GUA GUA"
1041,52,5,"DANIEL CÓRDOVA TORAL (EL ORIENTE) ",202,"ECUADOR AZUAY GUALACEO DANIEL CÓRDOVA TORAL (EL ORIENTE) ","1,2,202,1041","593 01 03 52",DAN,"EC AZU GUA DAN"
1042,53,5,JADÁN,202,"ECUADOR AZUAY GUALACEO JADÁN","1,2,202,1042","593 01 03 53",JAD,"EC AZU GUA JAD"
1043,54,5,"MARIANO MORENO",202,"ECUADOR AZUAY GUALACEO MARIANO MORENO","1,2,202,1043","593 01 03 54",MAR,"EC AZU GUA MAR"
1044,56,5,"REMIGIO CRESPO TORAL (GÚLAG)",202,"ECUADOR AZUAY GUALACEO REMIGIO CRESPO TORAL (GÚLAG)","1,2,202,1044","593 01 03 56",REM,"EC AZU GUA REM"
1045,57,5,"SAN JUAN",202,"ECUADOR AZUAY GUALACEO SAN JUAN","1,2,202,1045","593 01 03 57",SAN,"EC AZU GUA SAN"
1046,58,5,ZHIDMAD,202,"ECUADOR AZUAY GUALACEO ZHIDMAD","1,2,202,1046","593 01 03 58",ZHI,"EC AZU GUA ZHI"
1047,59,5,"LUIS CORDERO VEGA",202,"ECUADOR AZUAY GUALACEO LUIS CORDERO VEGA","1,2,202,1047","593 01 03 59",LUI,"EC AZU GUA LUI"
1048,60,5,"SIMÓN BOLÍVAR (CAB. EN GAÑANZOL)",202,"ECUADOR AZUAY GUALACEO SIMÓN BOLÍVAR (CAB. EN GAÑANZOL)","1,2,202,1048","593 01 03 60",SIM,"EC AZU GUA SIM"
1049,50,8,"NABÓN, CABECERA CANTONAL",203,"ECUADOR AZUAY NABÓN NABÓN, CABECERA CANTONAL","1,2,203,1049","593 01 04 50",NAB,"EC AZU NAB NAB"
1050,51,5,COCHAPATA,203,"ECUADOR AZUAY NABÓN COCHAPATA","1,2,203,1050","593 01 04 51",COC,"EC AZU NAB COC"
1051,52,5,"EL PROGRESO (CAB.EN ZHOTA) ",203,"ECUADOR AZUAY NABÓN EL PROGRESO (CAB.EN ZHOTA) ","1,2,203,1051","593 01 04 52",ELP,"EC AZU NAB ELP"
1052,53,5,"LAS NIEVES (CHAYA)",203,"ECUADOR AZUAY NABÓN LAS NIEVES (CHAYA)","1,2,203,1052","593 01 04 53",LAS,"EC AZU NAB LAS"
1053,50,8,"PAUTE, CABECERA CANTONAL",204,"ECUADOR AZUAY PAUTE PAUTE, CABECERA CANTONAL","1,2,204,1053","593 01 05 50",PAU,"EC AZU PAU PAU"
1054,52,5,"BULÁN (JOSÉ VÍCTOR IZQUIERDO) ",204,"ECUADOR AZUAY PAUTE BULÁN (JOSÉ VÍCTOR IZQUIERDO) ","1,2,204,1054","593 01 05 52",BUL,"EC AZU PAU BUL"
1055,53,5,"CHICÁN (GUILLERMO ORTEGA) ",204,"ECUADOR AZUAY PAUTE CHICÁN (GUILLERMO ORTEGA) ","1,2,204,1055","593 01 05 53",CHI,"EC AZU PAU CHI"
1056,54,5,"EL CABO  ",204,"ECUADOR AZUAY PAUTE EL CABO  ","1,2,204,1056","593 01 05 54",ELC,"EC AZU PAU ELC"
1057,56,5,GUARAINAG,204,"ECUADOR AZUAY PAUTE GUARAINAG","1,2,204,1057","593 01 05 56",GUA,"EC AZU PAU GUA"
